nombre,especialidad,ciudad,pais,telefono,sitio_web
Tarot Coyoacán,Vidente,"Coyoacán, Ciudad de México",MX,+52 55 6202 6920,
El Tarot de Caridad!,Servicios de clarividencia,"Cuauhtémoc, Ciudad de México",MX,+52 55 4952 1177,https://sites.google.com/view/eltarotdecaridad/home
Tarots del Mundo Suc. Roma,Librería,"Cuauhtémoc, Ciudad de México",MX,+52 55 1998 3301,https://tarotsdelmundo.com/
El Tarot Mágico – Vidente en México,Vidente,Metepec,MX,+52 722 241 4376,https://www.tarotmagiamx.com/
LECTURA DE TAROT EN CDMX,Vidente,"Benito Juárez, Ciudad de México",MX,+52 55 4983 3634,https://jaimeferrertarotista.com.mx/
Centro Esotérico Espiritual,Astrólogo,Guadalajara,MX,+52 33 1616 7966,https://amarresdeamorengdl.com/
Tarot y Rituales de Eva Mexico,Vidente,"Coyoacán, Ciudad de México",MX,+52 55 8138 5313,https://activacion360.com/
Tarot y los Arcanos de Joe,Centro espiritual,Guadalajara,MX,+52 33 2278 3915,https://wa.link/t5yagd
ALKIMYAH - Astrología Terapéutica,Astrólogo,Zapopan,MX,+52 33 3990 3718,http://www.alkimyah.com/
Quiropractico Holistico Medicina Manual,Quiropráctico,Guadalajara,MX,+52 33 2244 4116,
Centro De Desarrollo Holistico,Centro de formación,Zapopan,MX,+52 33 4444 2757,https://cdh-edu.mx/
Centro Holistico,Profesional de medicina alternativa,Guadalajara,MX,+52 33 1193 9505,
Lectura de Tarot,Astrólogo,Guadalajara,MX,+52 33 1097 2826,https://lectura-de-tarot-jalisco.ueniweb.com/
CCREA Centro Holístico,Centro de meditación,Guadalajara,MX,+52 33 2637 7258,
Árbol de Vida Centro Holístico,Centro de yoga,Guadalajara,MX,+52 33 1217 9085,
Lago Floral | Cursos de Flores de Bach y Astrología,Escuela de educación para adultos,Guadalajara,MX,+52 33 1135 4818,http://www.lagofloral.com/
Centro de Desarrollo Humano y Espiritual Michelle Rivera,Centro de salud y bienestar,Guadalajara,MX,+52 33 3137 6551,https://sites.google.com/view/yosoymichellerivera/inicio
Centro terapéutico holístico SEUNO,Profesional de medicina alternativa,Guadalajara,MX,+52 33 2014 0971,
Terapias Holísticas — Giadaa Holística,Especialista en medicina holística,Guadalajara,MX,+52 33 3196 1790,https://www.giadaaholistica.com/
Ikal centro holístico,Spa y gimnasio,Zapopan,MX,+52 33 1845 4045,
Instituto Holístico,Psicoterapeuta,Guadalajara,MX,+52 33 2003 3317,http://institutoholistico.com/
Ixshala Tienda Holística,Tienda de regalos,Monterrey,MX,+52 81 1943 8750,http://www.ixshala.com/
Ivy Terapeuta Holístico,Psicólogo,Guadalajara,MX,+52 33 3021 8830,https://ivyterapeuta.com/
SPA Holístico Mty,,Monterrey,MX,+52 81 8028 6001,
Vive Holistica,Centro de meditación,Guadalajara,MX,+52 33 5110 1080,https://viveholistica.godaddysites.com/
Centro Holistico DAYAT MTY,Spa y gimnasio,Monterrey,MX,+52 81 8204 6900,
Gaandar Centro Holístico y Tienda,Tienda de regalos,Monterrey,MX,+52 81 1077 2273,http://www.tiendagaandar.com/
Paola Osuna :: Terapia Holistica,Acupuntor,Guadalajara,MX,+52 33 3476 2872,https://www.paolaosuna.mx/
Ana Mejía Armoenergía México,Programa de salud y bienestar,Guadalajara,MX,+52 33 1343 1570,http://armoenergiaanamejia.com/
"Luz Alternativa terapias (masaje terapeutico, limpieza facial, imanes, reiki",Profesional de medicina alternativa,Monterrey,MX,+52 81 2604 9556,https://karlalhg2gmailcom.agendapro.com/mx
Zenda Centro Holístico,Masajista,Guadalajara,MX,+52 33 1830 4618,https://www.facebook.com/share/15jzUZMhW1/
Centro Holistico DAYAT Valle,Spa,Monterrey,MX,+52 81 1956 3597,
Shambhala Centro Holístico,Terapeuta de reiki,Guadalajara,MX,+52 33 2610 0494,https://www.facebook.com/shambhalacentroh
Centro Holístico Elipse,Centro de salud y bienestar,Monterrey,MX,+52 81 2326 0318,
Holistica Espacio para el SER,Centro de salud y bienestar,Monterrey,MX,+52 81 2476 5987,http://www.esholistica.com/
Casa Holistica YIB,Profesional de medicina alternativa,Monterrey,MX,+52 81 1277 9065,https://www.facebook.com/profile.php?id=100090067554839
PRANA HOLISTICA,Tienda de regalos,Monterrey,MX,+52 81 8309 0702,http://www.pranaholistica.com/
Sādhana Centro Holístico,Terapeuta de reiki,Monterrey,MX,+52 81 1504 2380,https://www.instagram.com/sadhana.holistic
Enciende Tu Poder,Terapeuta de reiki,Cdad. Autónoma de Buenos Aires,AR,+54 11 5852-1077,https://linktr.ee/enciendetupoder
Escuela de Reiki,,Cdad. Autónoma de Buenos Aires,AR,+54 11 3260-4489,
Revitalia,Terapeuta de reiki,Monterrey,MX,+52 81 3246 4743,
Centro Holístico Monterrey,Especialista en medicina holística,Monterrey,MX,+52 81 8343 4182,https://centroholisticomonterrey.com/
Reiki Fluyendo con Bienestar,Centro de salud y bienestar,Monterrey,MX,+52 81 1570 4316,
Centro de Aromaterapia Espiritual y REIKI.,Colegio concertado,Monterrey,MX,+52 81 2081 4447,
Centro de Estudios Tai Yon,Terapeuta de reiki,Monterrey,MX,+52 81 8342 1861,
Casa Mariposa,Terapeuta de reiki,Guadalajara,MX,+52 33 1412 9554,http://irery23.wixsite.com/casaoruga
Bioequilibrio,Terapeuta de reiki,Monterrey,MX,+52 81 1024 8859,
Terapias Alternativas Reiki Apodaca Nuevo León,Spa y gimnasio,Cdad. Apodaca,MX,+52 81 1182 4443,
Mimi Hutchinson Holística,Terapeuta de reiki,Monterrey,MX,+52 81 1655 9346,
Karla Astróloga Senderos Místicos,Astrólogo,Zapopan,MX,+52 33 1313 9152,https://karlaastrologa.com/
"Respira Energía, Terapias Energéticas (biomagnetismo, Reiki, Auriculoterapia, Reflexología, Masaje)",Terapeuta de reiki,Guadalupe,MX,+52 81 4706 6216,
Centro Constelaciones,Institución educativa,Monterrey,MX,+52 81 8343 4188,https://centroholisticomonterrey.com/constelaciones-familiares-monterrey/
Reiki,Centro de salud y bienestar,Monterrey,MX,+52 81 1506 2993,http://reiki.lat/
Lectura de tarot y videncia,Vidente,"Cuauhtémoc, Ciudad de México",MX,+52 55 9194 9256,https://marialuisatarot.com/
"Masajes,reflexo,reiki, cuencos,péndulo,hora y media",Terapeuta de reiki,Cdad. Autónoma de Buenos Aires,AR,+54 11 3885-3893,
Reiki y técnicas de Sanación energética integrativa. 20 años de experiencia.,Profesional de medicina alternativa,Cdad. Autónoma de Buenos Aires,AR,+54 9 11 5749-5199,
Mystic Soul,Terapeuta de reiki,Monterrey,MX,+52 81 3127 3334,http://www.mysticsoul.mx/
"Reiki, Sanación energética y terapias naturales",Terapeuta de reiki,Cdad. Autónoma de Buenos Aires,AR,+54 11 5749-5199,
Trazando mi existencia. Medicina Estelar Holística,Terapeuta de reiki,Capital,AR,+54 11 6004-7342,https://trazandomiexistencia.com/
Instituto Holístico de Monterrey,Centro de salud y bienestar,San Nicolás de los Garza,MX,+52 81 1939 9695,https://www.facebook.com/ihmonterrey.com.mx
Escuela de terapias holísticas Tepatiani,Centro cultural,Guadalajara,MX,+52 33 3667 9436,https://escuelatepatiani.com/
Miriam Bridges/Terapia Cuántica y Metamórfica,Terapeuta de reiki,Guadalajara,MX,+52 33 1331 5905,
Sociedad Argentina de Reiki,Terapeuta de reiki,Cdad. Autónoma de Buenos Aires,AR,+54 11 5871-0320,http://www.sareiki.com/
Casa Tonantzin,Terapeuta de reiki,Guadalupe,MX,+52 81 8655 3767,https://www.facebook.com/share/1AdLxcXe5R/
USUI REIKI RYOHO - Escuela de Reiki - RM Daniel Franco,Terapeuta de reiki,Cdad. Autónoma de Buenos Aires,AR,+54 11 2187-7526,https://www.reikioriginal.ar/
Vida Natura una Sesión de Sanación,Terapeuta de reiki,Guadalajara,MX,+52 33 2927 7778,
Reiki y tarot Las puertas del inconsciente,Spa,Guadalajara,MX,+52 33 2429 4674,https://www.facebook.com/share/1BKRPZJB3i/
Reiki y Meditaciones Monterrey,Centro de salud y bienestar,Guadalupe,MX,+52 81 1130 3073,https://www.facebook.com/ReikiYMeditacionesMty
Claudio Márquez Escuela de Reiki,Centro de aprendizaje,Cdad. Autónoma de Buenos Aires,AR,+54 11 4147-8510,https://claudiomarquezreiki.com/
Asociación De Reiki Mikao Usui,Centro de formación,Villa Martelli,AR,+54 11 6244-5226,http://www.reiki.org.ar/
"Reiki, Masajes y Herbolaria",Terapeuta de reiki,Guadalajara,MX,+52 33 2130 6307,
REIKI,Terapeuta de reiki,"Gustavo A. Madero, Ciudad de México",MX,+52 55 8037 3035,
Alianza Argentina de Maestros de Reiki,Terapeuta de reiki,Cdad. Autónoma de Buenos Aires,AR,+54 9 11 5491-3443,https://www.reikiargentina.org/
Biomagnetismo Médico y Flores de Bach CDMX,Terapeuta de reiki,"Cuauhtémoc, Ciudad de México",MX,+52 55 4496 8250,
Reiki Roma Sur,Terapeuta de reiki,"Cuauhtémoc, Ciudad de México",MX,+52 55 7872 3317,
Centro Shakti Hermandad De Reiki,Terapeuta de reiki,"Iztapalapa, Ciudad de México",MX,+52 55 4917 7952,
Terapias REIKI En Azcapotzalco,Terapeuta de reiki,"Azcapotzalco, Ciudad de México",MX,+52 55 6517 2639,http://www.felixsaucedo.ctcin.bio/
Reiki Co,Terapeuta de reiki,"Cuauhtémoc, Ciudad de México",MX,+52 55 1234 8622,
Reiki y Registros Akáshicos,Centro espiritual,"Álvaro Obregón, Ciudad de México",MX,+52 55 2774 4056,
"Reiki Caani Roma (Tarot, Acupuntura,Carta Astral, Limpias)",Terapeuta de reiki,"Cuauhtémoc, Ciudad de México",MX,+52 55 2729 6957,https://reikicaani.github.io/reikicaani/
Pachiui Amor,Terapeuta de reiki,"Benito Juárez, Ciudad de México",MX,+52 55 4348 6778,http://www.pachiuiamor.com/
I Reiki You,Terapeuta de reiki,Guadalajara,MX,+52 33 2189 7648,https://ireikiyou.com/
Reiki Mexico,Centro de salud y bienestar,"Cuauhtémoc, Ciudad de México",MX,+52 55 2454 9164,https://www.reikimexico.org/
ALQUIMIA REIKI,Terapeuta de reiki,Guadalajara,MX,+52 374 105 7179,https://www.facebook.com/AlquimiaReiki
Shaman Shakti- REIKI Terapias & Chakras desbloqueo y alineación,Asesor,Cdad. Gral. Escobedo,MX,+52 81 1178 3233,
Colegio Mexicano de Reiki,Terapeuta de reiki,"Benito Juárez, Ciudad de México",MX,+52 55 5672 3656,https://www.colegiomexicanodereiki.com.mx/
Reiki Heel Kuxtal,Centro de salud y bienestar,Guadalajara,MX,+52 33 3171 6956,https://www.silviagarcia22.com/
ALEXA COACH ESPIRITUAL,Asesor,San Martín,AR,+54 11 6506-0975,
VIDENCIAS Y COACHING ESPIRITUAL,Vidente,Sáenz Peña,AR,+54 11 5856-7090,
YUE terapias alternativas,Terapeuta de reiki,Monterrey,MX,+52 81 2420 9602,https://www.facebook.com/yueterapiaalternativa/
Emilia Witch Coach espiritual,Centro espiritual,"Gustavo A. Madero, Ciudad de México",MX,+52 55 2523 2603,
Coach en Sanación Energética Espiritual,,"Cuajimalpa de Morelos, Ciudad de México",MX,+52 55 5507 7485,
Coach Espiritual,,"Cuauhtémoc, Ciudad de México",MX,+52 55 4427 9985,
"Consultorio Holístico Viviana - Reiki, Tameana, Registros Akashicos, Biodecodificación, Coaching Espiritual",Terapeuta de reiki,Lomas de Zamora,AR,+54 11 5995-6415,https://www.vivianamoreno.com/
Escuela de Reiki Shamadhi,Terapeuta de reiki,"Iztapalapa, Ciudad de México",MX,+52 55 8529 4640,
Coach Ontológico de Autoestima y Vínculos - Carolina Anabella,,Cdad. Autónoma de Buenos Aires,AR,+54 9 11 7198-9081,https://carolinaestrada.my.canva.site/
Coaching Ontológico Holístico,Centro de salud y bienestar,Cdad. Autónoma de Buenos Aires,AR,+54 11 6160-8497,https://calendly.com/samanta-g-pinho
"Aditi, Registros Akáshicos",Centro de salud y bienestar,Cdad. Autónoma de Buenos Aires,AR,+54 11 5640-6747,http://www.aditi-vivir-feliz-despertar-espiritual.com/
Terapias Alternativas Shakti Reiki,Terapeuta de reiki,"Benito Juárez, Ciudad de México",MX,+52 55 2690 9150,https://facebook.com/shaktireiki.mx/
"Universo Alternativo - Regresiones, Psicoanálisis, reiki, breathwork, cuencos, yoga, Cursos",Terapeuta de reiki,"Benito Juárez, Ciudad de México",MX,+52 55 5598 6845,http://www.universoalternativo.com/
"RAIZ - Entrenamiento Espiritual - Constelaciones Familiares, Registros Akáshicos",,Cdad. Autónoma de Buenos Aires,AR,+54 11 6684-4835,https://alemayo.com/
Reikiesmas,Terapeuta de reiki,"Cuauhtémoc, Ciudad de México",MX,+52 55 2172 3787,http://www.reikiesmas.com/
Despertando Conciencia,Terapeuta de reiki,Cdad. Autónoma de Buenos Aires,AR,+54 11 6868-8307,https://despertandoconciencia2.mitiendanube.com/
Eris Magical Craft Tarot y Taller de Herramientas Mágicas,Astrólogo,San Nicolás de los Garza,MX,+52 81 1314 8374,
TAROT RAFAEL,Astrólogo,Guadalupe,MX,+52 81 1501 1755,
Reiki en San Nicolas,Terapeuta de reiki,San Nicolás de los Garza,MX,+52 81 2107 9812,http://www.facebook.com/Reikiensannicolas
Terapias Angelicales Ángeles by Laura Espinosa,Centro de meditación,"Miguel Hidalgo, Ciudad de México",MX,+52 321 479 3795,http://www.angelesbylauraespinosa.com/
ArmoniosaMenthe By Norma Chavez,Centro espiritual,"Benito Juárez, Ciudad de México",MX,+52 56 1987 5350,https://armoniosamenthe.com/
Terapias holisticas,Terapeuta de reiki,"Coyoacán, Ciudad de México",MX,+52 55 1338 3573,
CENTRO HOLISTICO CONCIENCIA CÓSMICA,Terapeuta de reiki,"Venustiano Carranza, Ciudad de México",MX,+52 55 6084 4370,
Vie Reiki en Guadalajara,Terapeuta de reiki,Guadalajara,MX,+52 33 1466 4145,http://www.viereiki.com/
Centro Holístico Shalom,Institución educativa,"Coyoacán, Ciudad de México",MX,+52 55 2270 7340,
Cuauhtli Espacio Holístico,Servicio de aromaterapia,"Coyoacán, Ciudad de México",MX,+52 55 6096 0090,
Centro Holistico y de Medicina Alternativa Intiraymi,Profesional de medicina alternativa,"Gustavo A. Madero, Ciudad de México",MX,+52 55 5513 4058,
La Divina Aura,Terapeuta de reiki,Guadalajara,MX,+52 33 1014 1462,https://www.facebook.com/LaDivinaAuraMX
CENTRO HOLISTICO MANDALA,Centro de retiro de yoga,"Benito Juárez, Ciudad de México",MX,+52 55 2119 8377,
Consultorio holistico de terapia alternativa,,"Gustavo A. Madero, Ciudad de México",MX,+52 55 5456 4176,
"Sra. Blanca Tarot, Amarres, Amuletos y mas",Vidente,Monterrey,MX,+52 81 1606 7525,https://www.facebook.com/srablancatarot
Terapeuta Holística Integral,Centro comunitario,"Cuauhtémoc, Ciudad de México",MX,+52 55 8433 8996,
Camino del Corazón,Terapeuta de reiki,Cdad. Autónoma de Buenos Aires,AR,+54 9 11 6860-6860,http://www.caminodelcorazon.com.ar/
Terapias Holisticas Rafael Arcángel,Terapeuta de reiki,"La Magdalena Contreras, Ciudad de México",MX,+52 55 4044 3352,https://www.terapiasholisticasrafaelarcangel.com/terapeutas.html
Lectura de Cartas y Mas,Vidente,Monterrey,MX,+52 81 2436 2427,
Reiki Tradicional Mty,Profesional de medicina alternativa,Monterrey,MX,+52 81 8098 1891,http://www.reikitradicionalmty.com/
Astrología Leo,Astrólogo,Monterrey,MX,+52 81 1189 6198,http://www.astrologialeo.com.mx/
Delfis Terapia Angelical,Terapeuta de reiki,Guadalajara,MX,+52 33 3102 9001,https://delfis.com.mx/
Terapia Holistica Alternativa,Especialista en medicina holística,"Miguel Hidalgo, Ciudad de México",MX,+52 55202082,
"Centro Holistico Itzae, Masajes, Temazcal, Medicina Alternativa, Spa",Spa de día,"Cuauhtémoc, Ciudad de México",MX,+52 55 2740 5971,https://centroholisticoitzae.com/
Health Holístico,Terapeuta de reiki,"Azcapotzalco, Ciudad de México",MX,+52 55 6614 0478,
ADRY TAROT,Astrólogo,Monterrey,MX,+52 81 1585 6291,https://adry-tar.ueniweb.com/
Dosha Centro De Terapias Holisticas Mente Cuerpo Y Espíritu,Terapeuta de reiki,"Benito Juárez, Ciudad de México",MX,+52 55 5175 9405,https://dosha-centro-de-terapias-holisticas-mente-cuerpo-y-espiritu.ueniweb.com/
Rituales y Tarot Sra Yolanda,Vidente,San Nicolás de los Garza,MX,+52 81 2125 9319,
Centro de Convivencia Holística,Profesional de medicina alternativa,"Álvaro Obregón, Ciudad de México",MX,+52 56 2570 0827,https://www.convivenciaholistica.com.mx/
Mundo Esoterico Tarot - Amarres- Brujeria - Alta Magia - Hipnosis,Servicios de clarividencia,Monterrey,MX,+52 81 2913 8563,https://www.mundoesotericotarot.com/
MAI Centro Holístico Spa CDMX,Masajista,"Cuauhtémoc, Ciudad de México",MX,+52 55 7384 8142,https://maicentro.com/
Tarot,Vidente,Wilde,AR,+54 11 3821-9212,
Tarot con Thea,Vidente,Darregueira,AR,+54 2921 42-5264,
"Anibal Tarot Baires - tiradas de cartas, union de parejas, amarres de amor",Astrólogo,Cdad. Autónoma de Buenos Aires,AR,+54 11 4075-1532,
"Tarotista en Villa Urquiza-I Ching-Ajedrez,Damas y Laberinto",Asesor,Cdad. Autónoma de Buenos Aires,AR,+54 9 11 6585-7839,
Terapias Energéticas Holísticas | ALMUDENA DUEÑAS,Centro de meditación,Madrid,ES,+34 662 05 90 74,
Maria Fernanda Bocanegra | Sesiones de Thetahealing | Madrid |,Centro espiritual,Madrid,ES,+34 644 86 17 93,
Claudia Tarotista,Vidente,Ramos Mejía,AR,+54 11 6757-5080,https://wa.me/1567575080
Samanda Tarotista Colombiana - Tarot Presencial en Madrid,Vidente,Madrid,ES,+34 915 39 58 50,https://samandatarotistacolombiana.com/
Be Super Soul - Terapeuta Holística,Centro de retiro,Madrid,ES,+34 623 97 67 23,https://www.besupersoul.com/
Librería Esoterica Tienda Holística,Astrólogo,Cdad. Autónoma de Buenos Aires,AR,+54 9 11 6969-2307,https://www.tiendaesotericaconejoblanco.com.ar/
DeMaimas Tarot,Centro espiritual,Madrid,ES,+34 658 80 65 09,http://demaimastarot.com/
Tarot y Vidente Natural Adriana,Vidente,Cdad. Autónoma de Buenos Aires,AR,+54 11 3026-4697,
Selene Arcana Vidente - Tarot Madrid,Vidente,Madrid,ES,+34 919 99 81 62,https://selenearcanatarot.com/
Tarot Madrid - Reina Violeta Tarot,Vidente,Madrid,ES,+34 613 72 51 20,
"Alphaom Holistica, Escuela del Alma. Meditación y Sanación, Escuela Místico Espiritual. Cursos, Diplomados, Terapias, Retiros",Centro escolar,"Benito Juárez, Ciudad de México",MX,+52 55 5405 2631,http://www.escueladelalma.com.mx/
Alicia Mohini coach espiritual,Profesional de medicina alternativa,"Iztapalapa, Ciudad de México",MX,+52 55 8367 4914,https://www.aliciamohini.mx/
"Sanaciones Integrales (Reiki, PNL, Coaching espiritual, Diapasones, sonidoterapia, Terapias Alternativas)",Terapeuta de reiki,Cdad. Autónoma de Buenos Aires,AR,+54 11 6695-2925,http://sanacionesintegrales.com.ar/
Tarot Casa Verde | Atención por Llamada y WhatsApp,Vidente,Madrid,ES,+34 603 96 59 87,https://linktr.ee/casaverdemagia
Tarot de Marta Aguado,Vidente,Madrid,ES,+34 911 11 15 77,https://tarotdemarta.com/
ALMA PARA EL AMOR,Vidente,Bogotá,CO,+57 14666063,
Tarot Esoterica Santa Barbara,Vidente,Bogotá,CO,+57 305 4194004,
Andrea Tarot,Vidente,Cdad. Autónoma de Buenos Aires,AR,+54 11 4923-8593,http://www.andrea-tarot.com/
Häxan tarot,Centro espiritual,Bogotá,CO,+57 310 7883636,
tarot andromeda,Astrólogo,Bogotá,CO,+57 300 8127412,
Aramistic Vidente Consultas Tarot,Vidente,Madrid,ES,+34 644 39 84 42,http://www.aramisticvidente.com/
Consultorio Espiritual Amarres de Amor y Tarot,Vidente,Bogotá,CO,+57 300 6720861,
Tarot Madame Sophi,Centro espiritual,Bogotá,CO,+57 320 7961634,
Lectura del tarot el rincón de los angeles,Centro comercial,Bogotá,CO,+57 321 2782763,
LECTURA TAROT LA ESTRELLA DE DAVID,Parque infantil,Bogotá,CO,+57 322 2478696,
Valeria de la Luna,Vidente,Madrid,ES,+34 919 60 38 26,http://videntemadrid.es/
Roja Médium | Guía Espiritual y Tarot Terapéutico,Vidente,Bogotá,CO,+57 302 6572420,http://www.rojamedium.com/
Tarot Esmeralda Llanos vidente y tarotista,Vidente,Madrid,ES,+34 912 52 94 19,https://www.esmeraldallanos.com/
Santa Martínez Tarotista,Servicios de clarividencia,Madrid,ES,+34 919 60 26 04,https://videntehoy.com/
El Tarot de Maria,Vidente,Madrid,ES,+34 667 53 53 09,http://www.eltarotdemaria.com/
Lectura de Tarot-Vale Amaris Tarot,Astrólogo,Bogotá,CO,+57 305 7200431,https://valeamarisarot.my.canva.site/
Lectura de Tarot Sunset,Servicios de clarividencia,Bogotá,CO,+57 320 4541388,
Nicole Prado - Coach Espiritual,Centro de aprendizaje,Madrid,ES,+34 647 89 61 80,
FdS Coach emocional y espiritual,Profesional de medicina alternativa,Madrid,ES,+34 682 54 11 25,
Tarotista Consulta Presencial en Barajas - Madrid,Vidente,Madrid,ES,+34 674 50 21 53,https://consultastarots.blogspot.com/
"Alis Holistica Angeles, Reiki, Tarot, Terapias, Hipnosis",Vidente,Bogotá,CO,+57 312 4106960,http://www.alisholistic.top/
Ariadna Tarot,Servicios de clarividencia,Bogotá,CO,+57 314 3116193,https://ariadnaastrologiaytarot.com/
Lectura de tarot Bogota,Vidente,Bogotá,CO,+57 312 4489421,https://tarotsabrina.amawebs.com/
FABIO GONZALEZ - Vidente Natural,Vidente,Cdad. Autónoma de Buenos Aires,AR,+54 11 3757-1652,https://wa.me/c/5491137571652
Mariana Aquino Vidente Natural - Tarotista,Vidente,Cdad. Autónoma de Buenos Aires,AR,+54 11 2631-5865,
Marian-Taroteando sesiones y enseñanza de Tarot,Vidente,Cdad. Autónoma de Buenos Aires,AR,+54 11 4437-9874,https://www.taroteando.com.ar/
Madrid Tarot,Astrólogo,Madrid,ES,+34 743 06 62 44,https://madridtarot.es/
Flerida Parra Ángel Centro Holístico Armonía Para el Alma Bogotá,Servicios de clarividencia,Bogotá,CO,+57 317 4659319,https://flerida-armoniaparaelalma.com/
Ines Justicia Medium Tarot Vidente,Servicios de clarividencia,Madrid,ES,+34 679 36 48 41,http://www.inesjusticia.com/
Crearte Coaching,Centro de formación,Madrid,ES,+34 910 81 52 41,https://creartecoaching.com/
Tarot Lucero,Vidente,Cdad. Autónoma de Buenos Aires,AR,+54 11 2778-8094,https://tarotyvidencialucero.com.ar/
Tarot Marisa Bernal,Vidente,Alcalá de Henares,ES,+34 911 79 15 27,https://www.tarotmarisabernal.com/
Tarotista en Madrid - tarot y lecturas,Centro espiritual,Madrid,ES,+34 673 36 93 52,https://www.instagram.com/tarotylecturas/
EVA TAROT,Astrólogo,Madrid,ES,+34 613 27 55 01,
Astrología Yonay Lozano,Astrólogo,Madrid,ES,+34 649 35 93 84,
Jeissontarot – Centro de Experiencia Holística,Bar,Bogotá,CO,+57 321 2111418,https://jeissontarot.com/
La Fuerza del Tarot,Vidente,Cdad. Autónoma de Buenos Aires,AR,+54 11 4418-0144,
Lectura de tarot CLAUDIA,Centro espiritual,Monterrey,MX,+52 81 8276 3933,
Centro esotérico (tarot Gio),Centro espiritual,Monterrey,MX,+52 81 1652 5646,
